codigo,descripcion,precio_dolares,precio_pesos,familia,familia_nombre,proveedor_nombre,marca_moto,modelo_moto,descripcion_normalizada,sinonimos,cilindrada,categoria_final
1020/00010-566,ALARGUE AMORTIGUADOR HONDA CG125 X JGO. VC,0,6931.757250000001,1020,ALARGUE AMORTIGUADOR,VC,HONDA,CG125 X JGO.,alargue amortiguador honda cg125 x jgo vc,alargue amortiguador; alargue amortiguador honda cg125 x jgo vc; honda; honda cg125 x jgo,125.0,Suspension
1020/00025-621,ALARGUE AMORTIGUADOR MONOSHOCK .,0,5634.232263,1020,ALARGUE AMORTIGUADOR,.,,,alargue amortiguador monoshock,alargue amortiguador; alargue amortiguador monoshock,,Suspension
1001/10225-623,"ALARMA MOTO C/ENCENDIDO A DISTANCIA,PANICO DZE",0,48679.99884,1001,ALARMA MOTO C/ENCENDIDO A,DZE,,,alarma moto c encendido a distancia panico dze,alarma moto c encendido a; alarma moto c encendido a distancia panico dze,,Universal / Varios
1537/00800-138,AMOLADORA MINITORNO NEUMATICA 25000RPM C/BROCA .,56.43511487887501,0,1537,AMOLADORA MINITORNO NEUMATICA 25000RPM,.,,,amoladora minitorno neumatica 25000rpm c broca,amoladora minitorno neumatica 25000rpm; amoladora minitorno neumatica 25000rpm c broca,,Universal / Varios
1033/00010-532,AMORTIGUADOR. MONOSHOCK CORVEN TRIAX 150/200/250 FAR,0,86195.443356,1033,AMORT. MONOSHOCK,FAR,CORVEN,TRIAX 150/200/250,amort monoshock corven triax 150 200 250 far,amort monoshock; amort monoshock corven triax 150 200 250 far; corven; corven triax 150 200 250,150.0,Suspension
1033/00049-532,AMORTIGUADOR. MONOSHOCK HONDA TORNADO FAR,0,87521.518656,1033,AMORT. MONOSHOCK,FAR,HONDA,TORNADO,amort monoshock honda tornado far,amort monoshock; amort monoshock honda tornado far; honda; honda tornado,,Suspension
1033/00048-532,AMORTIGUADOR. MONOSHOCK HONDA TWISTER 250 FAR,0,79478.26920000001,1033,AMORT. MONOSHOCK,FAR,HONDA,TWISTER 250,amort monoshock honda twister 250 far,amort monoshock; amort monoshock honda twister 250 far; honda; honda twister 250,250.0,Suspension
1033/00047-532,AMORTIGUADOR. MONOSHOCK HONDA XLR125 FAR,0,70282.431945,1033,AMORT. MONOSHOCK,FAR,HONDA,XLR125,amort monoshock honda xlr125 far,amort monoshock; amort monoshock honda xlr125 far; honda; honda xlr125,125.0,Suspension
1033/00073-532,AMORTIGUADOR. MONOSHOCK MOTOMEL MOTARD FAR,0,72934.602147,1033,AMORT. MONOSHOCK,FAR,MOTOMEL,MOTARD,amort monoshock motomel motard far,amort monoshock; amort monoshock motomel motard far; motomel; motomel motard,,Suspension
1033/00070-532,AMORTIGUADOR. MONOSHOCK MOTOMEL SKUA 150 FAR,0,72934.602147,1033,AMORT. MONOSHOCK,FAR,MOTOMEL,SKUA 150,amort monoshock motomel skua 150 far,amort monoshock; amort monoshock motomel skua 150 far; motomel; motomel skua 150,150.0,Suspension
1033/00070-022,AMORTIGUADOR. MONOSHOCK MOTOMEL SKUA 150 NSU,56.85825798311394,0,1033,AMORT. MONOSHOCK,NSU,MOTOMEL,SKUA 150,amort monoshock motomel skua 150 nsu,amort monoshock; amort monoshock motomel skua 150 nsu; motomel; motomel skua 150,150.0,Suspension
1033/00075-532,AMORTIGUADOR. MONOSHOCK YAMAHA FZ16 FAR,0,184862.44359,1033,AMORT. MONOSHOCK,FAR,YAMAHA,FZ16,amort monoshock yamaha fz16 far,amort monoshock; amort monoshock yamaha fz16 far; yamaha; yamaha fz16,,Suspension
1033/00085-532,AMORTIGUADOR. MONOSHOCK YAMAHA XTZ 125/250 FAR,0,86195.443356,1033,AMORT. MONOSHOCK,FAR,YAMAHA,XTZ 125/250,amort monoshock yamaha xtz 125 250 far,amort monoshock; amort monoshock yamaha xtz 125 250 far; yamaha; yamaha xtz 125 250,125.0,Suspension
1033/10130-532,AMORTIGUADOR. MONOSHOCK ZANELLA ZTT/ DAKAR200 FAR,0,111582.483606,1033,AMORT. MONOSHOCK,FAR,ZANELLA,ZTT/ DAKAR200,amort monoshock zanella ztt dakar200 far,amort monoshock; amort monoshock zanella ztt dakar200 far; zanella; zanella ztt dakar200,200.0,Suspension
1025/00060-566,AMORTIGUADOR. TRASERO. HONDA ELITE 50 VC,0,27264.098367,1025,AMORT.,VC,TRAS.,HONDA ELITE 50,amort tras honda elite 50 vc,amort; amort tras honda elite 50 vc; tras; tras honda elite 50,50.0,Suspension
1021/00006-532,AMORTIGUADOR. TRASEROHIDRAULICO BETA BS 110 FAR,0,22907.416653,1021,AMORT. TRAS.HIDRAULICO,FAR,BETA,BS 110,amort tras hidraulico beta bs 110 far,amort tras hidraulico; amort tras hidraulico beta bs 110 far; beta; beta bs 110,110.0,Suspension
1021/00053-532,AMORTIGUADOR. TRASEROHIDRAULICO GILERA SMASH 110/TRIP FAR,0,19978.436808,1021,AMORT. TRAS.HIDRAULICO,FAR,GILERA,SMASH 110/TRIP,amort tras hidraulico gilera smash 110 trip far,amort tras hidraulico; amort tras hidraulico gilera smash 110 trip far; gilera; gilera smash 110 trip,110.0,Suspension
1021/00050-022,AMORTIGUADOR. TRASEROHIDRAULICO GILERA SMASH-BIZ TUNING NSU,19.39442730910014,0,1021,AMORT. TRAS.HIDRAULICO,NSU,GILERA,SMASH-BIZ TUNING,amort tras hidraulico gilera smash biz tuning nsu,amort tras hidraulico; amort tras hidraulico gilera smash biz tuning nsu; gilera; gilera smash biz tuning,,Suspension
1021/00048-022,AMORTIGUADOR. TRASEROHIDRAULICO HONDA C90 M/VIEJO NSU,25.16773611197603,0,1021,AMORT. TRAS.HIDRAULICO,NSU,HONDA,C90 M/VIEJO,amort tras hidraulico honda c90 m viejo nsu,amort tras hidraulico; amort tras hidraulico honda c90 m viejo nsu; honda; honda c90 m viejo,90.0,Suspension
1021/00152-532,AMORTIGUADOR. TRASEROHIDRAULICO HONDA CG 150 TITAN ESD FAR,0,23972.814756,1021,AMORT. TRAS.HIDRAULICO,FAR,HONDA,CG 150 TITAN ESD,amort tras hidraulico honda cg 150 titan esd far,amort tras hidraulico; amort tras hidraulico honda cg 150 titan esd far; honda; honda cg 150 titan esd,150.0,Suspension
1021/00047-022,AMORTIGUADOR. TRASEROHIDRAULICO HONDA CG125/TITAN 2000KS/ES NSU,15.79069727282524,0,1021,AMORT. TRAS.HIDRAULICO,NSU,HONDA,CG125/TITAN 2000KS/ES,amort tras hidraulico honda cg125 titan 2000ks es nsu,amort tras hidraulico; amort tras hidraulico honda cg125 titan 2000ks es nsu; honda; honda cg125 titan 2000ks es,125.0,Suspension
1021/00067-532,AMORTIGUADOR. TRASEROHIDRAULICO HONDA NEW WAVE 110 FAR,0,22641.005871,1021,AMORT. TRAS.HIDRAULICO,FAR,HONDA,NEW WAVE 110,amort tras hidraulico honda new wave 110 far,amort tras hidraulico; amort tras hidraulico honda new wave 110 far; honda; honda new wave 110,110.0,Suspension
1021/00160-532,AMORTIGUADOR. TRASEROHIDRAULICO HONDA STORM 125 FAR,0,23972.814756,1021,AMORT. TRAS.HIDRAULICO,FAR,HONDA,STORM 125,amort tras hidraulico honda storm 125 far,amort tras hidraulico; amort tras hidraulico honda storm 125 far; honda; honda storm 125,125.0,Suspension
1021/00066-532,AMORTIGUADOR. TRASEROHIDRAULICO HONDA WAVE NF100 FAR,0,22907.397051,1021,AMORT. TRAS.HIDRAULICO,FAR,HONDA,WAVE NF100,amort tras hidraulico honda wave nf100 far,amort tras hidraulico; amort tras hidraulico honda wave nf100 far; honda; honda wave nf100,100.0,Suspension
1021/00052-022,AMORTIGUADOR. TRASEROHIDRAULICO HONDA WAVE NSU,15.79069727282524,0,1021,AMORT. TRAS.HIDRAULICO,NSU,HONDA,WAVE,amort tras hidraulico honda wave nsu,amort tras hidraulico; amort tras hidraulico honda wave nsu; honda; honda wave,,Suspension
1021/00040-532,AMORTIGUADOR. TRASEROHIDRAULICO REG. HONDA BIZC100 CROMO/NE FAR,0,19978.436808,1021,AMORT. TRAS.HIDRAULICO,FAR,REG.,HONDA BIZC100 CROMO/NE,amort tras hidraulico reg honda bizc100 cromo ne far,amort tras hidraulico; amort tras hidraulico reg honda bizc100 cromo ne far; reg; reg honda bizc100 cromo ne,100.0,Suspension
1025/00040-012,AMORTIGUADOR. TRASEROHIDRAULICO REG. HONDA CD 100 REGENT/TOUGH,34.61560691400525,0,1025,AMORT.,REGENT/TOUGH,TRAS.HIDRAULICO,REG. HONDA CD 100,amort tras hidraulico reg honda cd 100 regent tough,amort; amort tras hidraulico reg honda cd 100 regent tough; tras hidraulico; tras hidraulico reg honda cd 100,100.0,Suspension
1021/00046-532,AMORTIGUADOR. TRASEROHIDRAULICO REG. HONDA CG125 FAR,0,20510.101854,1021,AMORT. TRAS.HIDRAULICO,FAR,REG.,HONDA CG125,amort tras hidraulico reg honda cg125 far,amort tras hidraulico; amort tras hidraulico reg honda cg125 far; reg; reg honda cg125,125.0,Suspension
1021/00055-022,AMORTIGUADOR. TRASEROHIDRAULICO REG. HONDACB250NIGHTHAWK NSU,19.29914899157524,0,1021,AMORT. TRAS.HIDRAULICO,NSU,REG.,HONDACB250NIGHTHAWK,amort tras hidraulico reg hondacb250nighthawk nsu,amort tras hidraulico; amort tras hidraulico reg hondacb250nighthawk nsu; reg; reg hondacb250nighthawk,250.0,Suspension
1021/00057-022,AMORTIGUADOR. TRASEROHIDRAULICO REG. KAWASAKI NEO MAX NSU,19.91538213225728,0,1021,AMORT. TRAS.HIDRAULICO,NSU,REG.,KAWASAKI NEO MAX,amort tras hidraulico reg kawasaki neo max nsu,amort tras hidraulico; amort tras hidraulico reg kawasaki neo max nsu; reg; reg kawasaki neo max,,Suspension
1021/00058-022,AMORTIGUADOR. TRASEROHIDRAULICO SUZUKI AX100 ROJO NSU,25.13053948276664,0,1021,AMORT. TRAS.HIDRAULICO,NSU,SUZUKI,AX100 ROJO,amort tras hidraulico suzuki ax100 rojo nsu,amort tras hidraulico; amort tras hidraulico suzuki ax100 rojo nsu; suzuki; suzuki ax100 rojo,100.0,Suspension
1021/00085-532,AMORTIGUADOR. TRASEROHIDRAULICO YAMAHA YBR 125 SIMIL ORIG. FAR,0,21714.830973,1021,AMORT. TRAS.HIDRAULICO,FAR,YAMAHA,YBR 125 SIMIL ORIG.,amort tras hidraulico yamaha ybr 125 simil orig far,amort tras hidraulico; amort tras hidraulico yamaha ybr 125 simil orig far; yamaha; yamaha ybr 125 simil orig,125.0,Suspension
1021/00200-532,AMORTIGUADOR. TRASEROHIDRAULICO ZANELLA ZB 110/MOTOMEL BIT FAR,0,19977.348897,1021,AMORT. TRAS.HIDRAULICO,FAR,ZANELLA,ZB 110/MOTOMEL BIT,amort tras hidraulico zanella zb 110 motomel bit far,amort tras hidraulico; amort tras hidraulico zanella zb 110 motomel bit far; zanella; zanella zb 110 motomel bit,110.0,Suspension
1036/00060-070,ANTIPARRAS CHOPERA AZUL C/LENTE AZUL (7832) TERCOM,12.08800034096207,0,1036,ANTIPARRAS,TERCOM,CHOPERA,AZUL C/LENTE AZUL (7832),antiparras chopera azul c lente azul 7832 tercom,antiparras; antiparras chopera azul c lente azul 7832 tercom; chopera; chopera azul c lente azul 7832,,Universal / Varios
1036/00190-022,ANTIPARRAS CROSS ATV NSU,5.195620403498268,0,1036,ANTIPARRAS,NSU,CROSS,ATV,antiparras cross atv nsu,antiparras; antiparras cross atv nsu; cross; cross atv,,Universal / Varios
1036/00180-081,ANTIPARRAS FUME SE1128 NSU,13.11621767034666,0,1036,ANTIPARRAS,NSU,FUME,SE1128,antiparras fume se1128 nsu,antiparras; antiparras fume se1128 nsu; fume; fume se1128,,Universal / Varios
1036/00100-070,ANTIPARRAS LAMINA CUBRE LENTE TEAROFF X 10 TERCOM,14.50782834852211,0,1036,ANTIPARRAS,TERCOM,LAMINA,CUBRE LENTE TEAROFF X 10,antiparras lamina cubre lente tearoff x 10 tercom,antiparras; antiparras lamina cubre lente tearoff x 10 tercom; lamina; lamina cubre lente tearoff x 10,,Universal / Varios
1001/00810-591,ANTIRROBO ELECTRONICO 12V APOLO,0,110573.500059,1001,ANTIRROBO ELECTRONICO 12V APOLO,APOLO,,,antirrobo electronico 12v apolo,antirrobo electronico 12v apolo,,Universal / Varios
1001/00800-591,ANTIRROBO ELECTRONICO 6V APOLO,0,110573.500059,1001,ANTIRROBO ELECTRONICO 6V APOLO,APOLO,,,antirrobo electronico 6v apolo,antirrobo electronico 6v apolo,,Universal / Varios
1849/00010-019,ANTIVIBRADOR ELITE 50  (SET) 22132 TERCOM,0.5683635637300052,0,1849,ANTIVIBRADOR,TERCOM,ELITE,50 (SET) 22132,antivibrador elite 50 set 22132 tercom,antivibrador; antivibrador elite 50 set 22132 tercom; elite; elite 50 set 22132,50.0,Universal / Varios
1849/00030-019,ANTIVIBRADOR SUZUKI AE 50 (SET) 21481 TERCOM,1.076902283835969,0,1849,ANTIVIBRADOR,TERCOM,SUZUKI,AE 50 (SET) 21481,antivibrador suzuki ae 50 set 21481 tercom,antivibrador; antivibrador suzuki ae 50 set 21481 tercom; suzuki; suzuki ae 50 set 21481,50.0,Universal / Varios
1803/00038-621,ARANDELA DE GOMA 8MM x100unid. .,0,6077.149254000001,1803,ARANDELA,.,DE,GOMA 8MM x100unid.,arandela de goma 8mm x100unid,arandela; arandela de goma 8mm x100unid; de; de goma 8mm x100unid,100.0,Universal / Varios
1803/00210-621,ARANDELA GROWER 10MM x 50 unidades .,0,5729.07654,1803,ARANDELA,.,GROWER,10MM x 50 unidades,arandela grower 10mm x 50 unidades,arandela; arandela grower 10mm x 50 unidades; grower; grower 10mm x 50 unidades,,Universal / Varios
1803/00212-621,ARANDELA GROWER 12MM x 50 unidades .,0,8354.901654000001,1803,ARANDELA,.,GROWER,12MM x 50 unidades,arandela grower 12mm x 50 unidades,arandela; arandela grower 12mm x 50 unidades; grower; grower 12mm x 50 unidades,,Universal / Varios
1803/00214-621,ARANDELA GROWER 14MM x 50 unidades .,0,10980.726768,1803,ARANDELA,.,GROWER,14MM x 50 unidades,arandela grower 14mm x 50 unidades,arandela; arandela grower 14mm x 50 unidades; grower; grower 14mm x 50 unidades,,Universal / Varios
1803/00206-621,ARANDELA GROWER 6MM x 100 unidades .,0,7638.762186,1803,ARANDELA,.,GROWER,6MM x 100 unidades,arandela grower 6mm x 100 unidades,arandela; arandela grower 6mm x 100 unidades; grower; grower 6mm x 100 unidades,100.0,Universal / Varios
1803/00207-621,ARANDELA GROWER 7MM x 100 unidades .,0,8354.901654000001,1803,ARANDELA,.,GROWER,7MM x 100 unidades,arandela grower 7mm x 100 unidades,arandela; arandela grower 7mm x 100 unidades; grower; grower 7mm x 100 unidades,100.0,Universal / Varios
1803/00070-621,ARANDELA PLANA 23X13X1.65 x20UNID. .,0,1036.857591,1803,ARANDELA,.,PLANA,23X13X1.65 x20UNID.,arandela plana 23x13x1 65 x20unid,arandela; arandela plana 23x13x1 65 x20unid; plana; plana 23x13x1 65 x20unid,,Universal / Varios
1803/00130-621,ARANDELA PLANA 6X18MM x50 UNID. .,0,2821.129641,1803,ARANDELA,.,PLANA,6X18MM x50 UNID.,arandela plana 6x18mm x50 unid,arandela; arandela plana 6x18mm x50 unid; plana; plana 6x18mm x50 unid,,Universal / Varios
1803/00060-566,ARANDELA PLANA CUBREPIERNAS GILERA SMASH (PVC) VC,0,282.131586,1803,ARANDELA,VC,PLANA,CUBREPIERNAS GILERA SMASH (PVC),arandela plana cubrepiernas gilera smash pvc vc,arandela; arandela plana cubrepiernas gilera smash pvc vc; plana; plana cubrepiernas gilera smash pvc,,Universal / Varios
1803/00110-621,ARANDELA REFORZADA 10mm x 50 unidades .,0,2777.093748,1803,ARANDELA,.,REFORZADA,10mm x 50 unidades,arandela reforzada 10mm x 50 unidades,arandela; arandela reforzada 10mm x 50 unidades; reforzada; reforzada 10mm x 50 unidades,,Universal / Varios
1803/00150-621,ARANDELA REFORZADA 12mm x50unid. .,0,3305.965509,1803,ARANDELA,.,REFORZADA,12mm x50unid.,arandela reforzada 12mm x50unid,arandela; arandela reforzada 12mm x50unid; reforzada; reforzada 12mm x50unid,,Universal / Varios
1803/00050-531,ARANDELA SUPLEMENTO 16 X 24 X 0.20 x10 unid. ALFREDO,0,2657.158911,1803,ARANDELA,ALFREDO,SUPLEMENTO,16 X 24 X 0.20 x10 unid.,arandela suplemento 16 x 24 x 0 20 x10 unid alfredo,arandela; arandela suplemento 16 x 24 x 0 20 x10 unid alfredo; suplemento; suplemento 16 x 24 x 0 20 x10 unid,,Universal / Varios
1803/00100-627,ARANDELA TAPON CARTER ACEITE 12X20mm x10UNID. JUNTAS ALFA,0,1057.518099,1803,ARANDELA,ALFA,TAPON,CARTER ACEITE 12X20mm x10UNID. JUNTAS,arandela tapon carter aceite 12x20mm x10unid juntas alfa,arandela; arandela tapon carter aceite 12x20mm x10unid juntas alfa; tapon; tapon carter aceite 12x20mm x10unid juntas,,Universal / Varios
