Código,Producto,Precio en Dólares,Precio en Pesos
1043/14100-575,"ARO GILERA FUTURA 4T DIAM.52,50 STD YAMASIDA/KIM",0.0,10433.88
1043/22051-022,ARO GILERA SMASH 125 0.25 NSU,2.76,0.0
1043/22052-022,ARO GILERA SMASH 125 0.50 NSU,2.76,0.0
1043/22053-022,ARO GILERA SMASH 125 0.75 NSU,2.76,0.0
1043/22054-022,ARO GILERA SMASH 125 1.00 NSU,2.76,0.0
1043/22050-022,ARO GILERA SMASH 125 STD NSU,2.75,0.0
1043/16001-022,ARO GILERA VC 200 0.25 NSU,3.52,0.0
1043/16002-022,ARO GILERA VC 200 0.50 NSU,3.52,0.0
1043/16003-022,ARO GILERA VC 200 0.75 NSU,3.52,0.0
1043/16004-022,ARO GILERA VC 200 1.00 NSU,3.52,0.0
1043/16000-022,ARO GILERA VC 200 STD NSU,3.52,0.0
1039/05007-575,ARO HERO PUCH 50  175 YAMASIDA/KIM,0.0,6328.31
1039/05008-575,ARO HERO PUCH 50  200 YAMASIDA/KIM,0.0,6328.31
1043/17521-022,ARO HONDA BIZ 125 0.25 NSU,3.11,0.0
1043/17522-022,ARO HONDA BIZ 125 0.50 NSU,3.11,0.0
1043/17523-022,ARO HONDA BIZ 125 0.75 NSU,3.11,0.0
1043/17524-022,ARO HONDA BIZ 125 1.00 NSU,3.11,0.0
1043/17520-022,ARO HONDA BIZ 125 STD NSU,3.11,0.0
1046/16002-071,ARO HONDA BIZ 125/ZANELLA SEXY 125 0.50 523F000 JPN/TP,19.1,0.0
1046/16003-071,ARO HONDA BIZ 125/ZANELLA SEXY 125 0.75 523F000 JPN/TP,19.1,0.0
1046/16004-071,ARO HONDA BIZ 125/ZANELLA SEXY 125 1.00 523F000 JPN/TP,19.1,0.0
1043/17501-022,ARO HONDA C100 BIZ 0.25 YAMASIDA,2.69,0.0
1043/17501-575,ARO HONDA C100 BIZ 0.25 YAMASIDA/KIM,0.0,10433.88
1043/17502-022,ARO HONDA C100 BIZ 0.50 YAMASIDA,2.69,0.0
1043/17502-575,ARO HONDA C100 BIZ 0.50 YAMASIDA/KIM,0.0,10433.88
1043/17503-022,ARO HONDA C100 BIZ 0.75 YAMASIDA,2.69,0.0
1043/17503-575,ARO HONDA C100 BIZ 0.75 YAMASIDA/KIM,0.0,10433.88
1043/17504-022,ARO HONDA C100 BIZ 1.00 YAMASIDA,2.69,0.0
1043/17504-575,ARO HONDA C100 BIZ 1.00 YAMASIDA/KIM,0.0,10433.88
1043/17505-022,ARO HONDA C100 BIZ 1.25 YAMASIDA,2.69,0.0
1043/17505-575,ARO HONDA C100 BIZ 1.25 YAMASIDA/KIM,0.0,10433.88
1043/17506-022,ARO HONDA C100 BIZ 1.50 YAMASIDA,2.69,0.0
1043/17506-575,ARO HONDA C100 BIZ 1.50 YAMASIDA/KIM,0.0,10433.88
1043/17507-022,ARO HONDA C100 BIZ 1.75 YAMASIDA,2.69,0.0
1043/17508-022,ARO HONDA C100 BIZ 2.00 YAMASIDA,2.69,0.0
1043/17508-575,ARO HONDA C100 BIZ 2.00 YAMASIDA/KIM,0.0,10433.88
1043/17500-022,ARO HONDA C100 BIZ STD YAMASIDA,2.69,0.0
1043/17500-575,ARO HONDA C100 BIZ STD YAMASIDA/KIM,0.0,10433.88
1046/17201-071,ARO HONDA C90 0.25 H126751 JPN/TP,17.06,0.0
1046/17203-071,ARO HONDA C90 0.75 H126751 JPN/TP,17.06,0.0
1046/17204-071,ARO HONDA C90 1.00 H126751 JPN/TP,17.06,0.0
1046/17301-071,ARO HONDA C90 M/VIEJO 0.25 H098771 JPN/TP,11.9,0.0
1046/17302-071,ARO HONDA C90 M/VIEJO 0.50 H098771 JPN/TP,11.9,0.0
1046/17303-071,ARO HONDA C90 M/VIEJO 0.75 H098771 JPN/TP,11.9,0.0
1046/17304-071,ARO HONDA C90 M/VIEJO 1.00 H098771 JPN/TP,11.9,0.0
1043/17571-022,ARO HONDA CB190 0.25 NSU,3.4,0.0
1043/17572-022,ARO HONDA CB190 0.50 NSU,3.4,0.0
1043/17573-022,ARO HONDA CB190 0.75 NSU,3.4,0.0
1043/17574-022,ARO HONDA CB190 1.00 NSU,3.4,0.0
1043/17570-022,ARO HONDA CB190 STD NSU,3.4,0.0
1043/17601-022,ARO HONDA CBX 200 0.25 YAMASIDA,2.39,0.0
1043/17602-022,ARO HONDA CBX 200 0.50 YAMASIDA,2.39,0.0
1043/17603-022,ARO HONDA CBX 200 0.75 YAMASIDA,2.39,0.0
1043/17604-022,ARO HONDA CBX 200 1.00 YAMASIDA,2.39,0.0
1043/17605-022,ARO HONDA CBX 200 1.25 NSU,2.4,0.0
1043/17606-022,ARO HONDA CBX 200 1.50 NSU,2.39,0.0
1043/17607-022,ARO HONDA CBX 200 1.75 NSU,2.38,0.0
1043/17608-022,ARO HONDA CBX 200 2.00 NSU,2.39,0.0
1043/17600-022,ARO HONDA CBX 200 STD YAMASIDA,2.39,0.0
1046/22101-071,ARO HONDA CG125 STORM 0.25 H383621 IZUMI/IKT,13.04,0.0
1046/22102-071,ARO HONDA CG125 STORM 0.50 H383621 IZUMI/IKT,13.04,0.0
1046/22103-071,ARO HONDA CG125 STORM 0.75 H383621 IZUMI/IKT,13.04,0.0
1046/22104-071,ARO HONDA CG125 STORM 1.00 H383621 IZUMI/IKT,13.04,0.0
1046/19003-071,ARO HONDA CG125 TITAN 2000/2002 0.75 HKGAB00 JPN/TP,13.53,0.0
1046/19004-071,ARO HONDA CG125 TITAN 2000/2002 1.00 HKGAB00 JPN/TP,13.53,0.0
1046/19013-071,ARO HONDA CG125 TODAY 0.75 HKY0305 JPN/TP,15.89,0.0
1043/19801-022,ARO HONDA CG125(TITAN 2000) 0.25 YAMASIDA,3.35,0.0
1043/19802-022,ARO HONDA CG125(TITAN 2000) 0.50 YAMASIDA,3.35,0.0
1043/19803-022,ARO HONDA CG125(TITAN 2000) 0.75 YAMASIDA,3.34,0.0
1043/19804-022,ARO HONDA CG125(TITAN 2000) 1.00 YAMASIDA,3.34,0.0
1043/19805-022,ARO HONDA CG125(TITAN 2000) 1.25 NSU,3.34,0.0
1043/19806-022,ARO HONDA CG125(TITAN 2000) 1.50 NSU,3.34,0.0
1043/19800-022,ARO HONDA CG125(TITAN 2000) STD YAMASIDA,3.35,0.0
1043/18101-022,ARO HONDA DAX 70 M/NUEVO 0.25 NSU,2.68,0.0
1043/18102-022,ARO HONDA DAX 70 M/NUEVO 0.50 NSU,2.68,0.0
1043/18104-022,ARO HONDA DAX 70 M/NUEVO 1.00 NSU,2.68,0.0
1043/18100-022,ARO HONDA DAX 70 M/NUEVO STD NSU,2.68,0.0
1039/06002-020,ARO HONDA ELITE 150 050 TW.,3.24,0.0
1039/06003-020,ARO HONDA ELITE 150 075  TW.,3.24,0.0
1039/06004-575,ARO HONDA ELITE 150 100 YAMASIDA/KIM,0.0,6328.31
1039/07001-020,ARO HONDA ELITE 50 025 TW.,3.24,0.0
1039/08000-575,ARO HONDA NC 50 CC. EXPRESS  STD YAMASIDA/KIM,0.0,6328.31
1039/08001-575,ARO HONDA NC 50 CC. EXPRESS 025 YAMASIDA/KIM,0.0,6328.31
1039/08002-575,ARO HONDA NC 50 CC. EXPRESS 050 YAMASIDA/KIM,0.0,6328.31
1039/08003-575,ARO HONDA NC 50 CC. EXPRESS 075 YAMASIDA/KIM,0.0,6328.31
1039/08004-575,ARO HONDA NC 50 CC. EXPRESS 100 YAMASIDA/KIM,0.0,6328.31
1039/08005-575,ARO HONDA NC 50 CC. EXPRESS 125 YAMASIDA/KIM,0.0,6328.31
1039/08006-575,ARO HONDA NC 50 CC. EXPRESS 150 YAMASIDA/KIM,0.0,6328.31
1039/08007-575,ARO HONDA NC 50 CC. EXPRESS 175 YAMASIDA/KIM,0.0,6328.31
1039/08008-575,ARO HONDA NC 50 CC. EXPRESS 200 YAMASIDA/KIM,0.0,6328.31
1043/19023-022,ARO HONDA NX 150 0.75 YAMASIDA,2.9,0.0
1043/19024-022,ARO HONDA NX 150 1.00 YAMASIDA,2.89,0.0
1043/19051-022,ARO HONDA STORM 0.25 YAMASIDA,2.57,0.0
1043/19052-022,ARO HONDA STORM 0.50 YAMASIDA,2.57,0.0
1043/19053-022,ARO HONDA STORM 0.75 YAMASIDA,2.56,0.0
1043/19054-022,ARO HONDA STORM 1.00 YAMASIDA,2.56,0.0
1043/19055-022,ARO HONDA STORM 1.25 YAMASIDA,2.57,0.0
1043/19050-022,ARO HONDA STORM STD YAMASIDA,2.57,0.0
1043/19201-022,ARO HONDA TITAN 150 0.25 YAMASIDA,2.77,0.0
1043/19202-022,ARO HONDA TITAN 150 0.50 YAMASIDA,2.77,0.0
1043/19203-022,ARO HONDA TITAN 150 0.75 YAMASIDA,2.77,0.0
1043/19204-022,ARO HONDA TITAN 150 1.00 YAMASIDA,2.77,0.0
1043/19205-022,ARO HONDA TITAN 150 1.25 NSU,2.77,0.0
1043/19206-022,ARO HONDA TITAN 150 1.50 NSU,2.77,0.0
1043/19207-022,ARO HONDA TITAN 150 1.75 NSU,2.77,0.0
1043/19208-022,ARO HONDA TITAN 150 2.00 NSU,2.77,0.0
